essay_id,essay,rater,score
3,"The mood that the author creates in this story is a @CAPS1 sad mood But it is also @CAPS2, @CAPS3 the guy in it is getting a new Home and a new Life @CAPS3 His parents @CAPS5 @CAPS6.",4,2
4,"The mood in the memoir that the author creates is a very warm and relaxed sort of mood. The way the author tells you about his parents; the selflessness and the way they put their kids first before themselves really just makes you think about your own parents and how good they are to you and what they would do for you. The way the author talks about his home makes you think of all the colors in the house. I think that the house would be a golden _ red color yellow, white, brown and orange on the insides. It reminds me of the way they would have cooked. They would have cooked with colorful peppers, onions, tortillas and oils. It makes you think about what colors you have in your home and what you would cook with.  The music sounds wonderful. Even though they don't demonstrate what it actually sounds like, you can easily imagine it. I imagine it laying in the background while all the adults are cooking and the kids are playing in colorful rooms with the golden sunlight shining in through an open window. I love the mood that this memoir puts me in.",5,5
4,"The mood in the memoir that the author creates is a very warm and relaxed sort of mood. The way the author tells you about his parents; the selflessness and the way they put their kids first before themselves really just makes you think about your own parents and how good they are to you and what they would do for you. The way the author talks about his home makes you think of all the colors in the house. I think that the house would be a golden _ red color yellow, white, brown and orange on the insides. It reminds me of the way they would have cooked. They would have cooked with colorful peppers, onions, tortillas and oils. It makes you think about what colors you have in your home and what you would cook with.  The music sounds wonderful. Even though they don't demonstrate what it actually sounds like, you can easily imagine it. I imagine it laying in the background while all the adults are cooking and the kids are playing in colorful rooms with the golden sunlight shining in through an open window. I love the mood that this memoir puts me in.",6,3
4,"The mood in the memoir that the author creates is a very warm and relaxed sort of mood. The way the author tells you about his parents; the selflessness and the way they put their kids first before themselves really just makes you think about your own parents and how good they are to you and what they would do for you. The way the author talks about his home makes you think of all the colors in the house. I think that the house would be a golden _ red color yellow, white, brown and orange on the insides. It reminds me of the way they would have cooked. They would have cooked with colorful peppers, onions, tortillas and oils. It makes you think about what colors you have in your home and what you would cook with.  The music sounds wonderful. Even though they don't demonstrate what it actually sounds like, you can easily imagine it. I imagine it laying in the background while all the adults are cooking and the kids are playing in colorful rooms with the golden sunlight shining in through an open window. I love the mood that this memoir puts me in.",7,5
5,"The mood of the memoir is very upbeat, happy mood of how @PERSON1. Grew up in Newark, New Jersey in a very Cuban family and tells the story of how Narciso went through his childhood. This memoir really emphasizes the connection and love that Narciso had with his parents and his home. It kind of makes you think that there is more to a house than just walls and a ceiling and that maybe it's part of a family.",8,4
5,"The mood of the memoir is very upbeat, happy mood of how @PERSON1. Grew up in Newark, New Jersey in a very Cuban family and tells the story of how Narciso went through his childhood. This memoir really emphasizes the connection and love that Narciso had with his parents and his home. It kind of makes you think that there is more to a house than just walls and a ceiling and that maybe it's part of a family.",9,5
6,"Describe the mood by the author in the memoir. the mood by the athor in the memoir. Is that she had a hard time grow up because her parent's keep on movieing. bay the age of twent-seven year old. Narciso Rodriguez liveing with her family she live in a one apratment room, When she was growing up there were racism were she was growing up. When she was growing up her mother and father taught her how to cook, and the number one thing she learned is how to love some one",10,3
6,"Describe the mood by the author in the memoir. the mood by the athor in the memoir. Is that she had a hard time grow up because her parent's keep on movieing. bay the age of twent-seven year old. Narciso Rodriguez liveing with her family she live in a one apratment room, When she was growing up there were racism were she was growing up. When she was growing up her mother and father taught her how to cook, and the number one thing she learned is how to love some one",11,2
6,"Describe the mood by the author in the memoir. the mood by the athor in the memoir. Is that she had a hard time grow up because her parent's keep on movieing. bay the age of twent-seven year old. Narciso Rodriguez liveing with her family she live in a one apratment room, When she was growing up there were racism were she was growing up. When she was growing up her mother and father taught her how to cook, and the number one thing she learned is how to love some one",12,2
7,"The mood created by the author in the memoir was happy, enjoyable, and worth living. I say happy because they had family to be with, and other friends to help them if anything. I say enjoyable because the author talks about how they (main character) had the first birthday and first friend. I would enjoy all my birthdays if I was that person and also my first friend. I also said worth living because they had food on their table everyday. And nothing in the memoir said anything about struggling. This is why I explain the mood as happy, enjoyable, and worth living.",13,2
7,"The mood created by the author in the memoir was happy, enjoyable, and worth living. I say happy because they had family to be with, and other friends to help them if anything. I say enjoyable because the author talks about how they (main character) had the first birthday and first friend. I would enjoy all my birthdays if I was that person and also my first friend. I also said worth living because they had food on their table everyday. And nothing in the memoir said anything about struggling. This is why I explain the mood as happy, enjoyable, and worth living.",14,3
8," The mood created by the author in this memoir was very loving and caring for their friends, family and everyone around them, for example it says how his mom would always keep the door open for whoever was going through a rough time or untill they were back on their feet because she knew they would do the same for her and her family. Also the mood is very thankful since Narciso admires everything that he's done in life and who he's helped out and he's thankful for all the friends he has and the care they have for him and his family and he thanks every oppertunity he gets in life. The mood also shows how that somthing small can turn out to be big on the inside because Narciso has done so much just from the small place he lives in.",15,5
8," The mood created by the author in this memoir was very loving and caring for their friends, family and everyone around them, for example it says how his mom would always keep the door open for whoever was going through a rough time or untill they were back on their feet because she knew they would do the same for her and her family. Also the mood is very thankful since Narciso admires everything that he's done in life and who he's helped out and he's thankful for all the friends he has and the care they have for him and his family and he thanks every oppertunity he gets in life. The mood also shows how that somthing small can turn out to be big on the inside because Narciso has done so much just from the small place he lives in.",16,4
9,"The mood created by the author in the memoir is grateful, joyful, and loving. The mood is grateful because the author's parents were such wonderful people, that made the author look up to them. The author even says, ""I will always be grateful to my parents for their love and sacrifice. The mood is also joyful because, although the author lived in just a simple house, inside, there was always music and he was influenced by his culture. ""Passionate Cuban music (which I adore to this day) filled the air, mixing with the aromas of the kitchen."" After all a house is only a ""home"" if you feel welcome and love, and that is exactly how the author felt. Lastly, the mood is loving because in his home, his parents welcomed anyone who needed help. Example from the memoir is, ""My parents kept their arms and their door open to the many people we consider family, knowing that they would do the same for us."" Over all, the author kept the mood lively and definitely happy, although the happiness went on through difficult times like segregation.",3,5
9,"The mood created by the author in the memoir is grateful, joyful, and loving. The mood is grateful because the author's parents were such wonderful people, that made the author look up to them. The author even says, ""I will always be grateful to my parents for their love and sacrifice. The mood is also joyful because, although the author lived in just a simple house, inside, there was always music and he was influenced by his culture. ""Passionate Cuban music (which I adore to this day) filled the air, mixing with the aromas of the kitchen."" After all a house is only a ""home"" if you feel welcome and love, and that is exactly how the author felt. Lastly, the mood is loving because in his home, his parents welcomed anyone who needed help. Example from the memoir is, ""My parents kept their arms and their door open to the many people we consider family, knowing that they would do the same for us."" Over all, the author kept the mood lively and definitely happy, although the happiness went on through difficult times like segregation.",4,5
9,"The mood created by the author in the memoir is grateful, joyful, and loving. The mood is grateful because the author's parents were such wonderful people, that made the author look up to them. The author even says, ""I will always be grateful to my parents for their love and sacrifice. The mood is also joyful because, although the author lived in just a simple house, inside, there was always music and he was influenced by his culture. ""Passionate Cuban music (which I adore to this day) filled the air, mixing with the aromas of the kitchen."" After all a house is only a ""home"" if you feel welcome and love, and that is exactly how the author felt. Lastly, the mood is loving because in his home, his parents welcomed anyone who needed help. Example from the memoir is, ""My parents kept their arms and their door open to the many people we consider family, knowing that they would do the same for us."" Over all, the author kept the mood lively and definitely happy, although the happiness went on through difficult times like segregation.",5,5
9,"The mood created by the author in the memoir is grateful, joyful, and loving. The mood is grateful because the author's parents were such wonderful people, that made the author look up to them. The author even says, ""I will always be grateful to my parents for their love and sacrifice. The mood is also joyful because, although the author lived in just a simple house, inside, there was always music and he was influenced by his culture. ""Passionate Cuban music (which I adore to this day) filled the air, mixing with the aromas of the kitchen."" After all a house is only a ""home"" if you feel welcome and love, and that is exactly how the author felt. Lastly, the mood is loving because in his home, his parents welcomed anyone who needed help. Example from the memoir is, ""My parents kept their arms and their door open to the many people we consider family, knowing that they would do the same for us."" Over all, the author kept the mood lively and definitely happy, although the happiness went on through difficult times like segregation.",6,5
10,"In the memoir, the author created a very upbeat mood. He clearly is very grateful for his family, and had a happy childhood. He pointed out the parts of his home and situation that could have been negitive for him while growing up, but then he cancelled those negitive things out by noting the positive aspects of each situation. For example, in the memoir he wrote about how his family had immigrated to the United States, and how they had good jobs in Cuba, but then had to start all over with low-paying jobs once they got here. He said that this was hard for them, but he found a positive way to look at the situation. He did this by writing about how his parent's situation taught them and him to always work hard, and never give up. So overall, he made what could have been a depressing story, have an upbeat and happy mode. He even made the story teach you a lesson about hard work and the importance of family and giving to others.",7,5
10,"In the memoir, the author created a very upbeat mood. He clearly is very grateful for his family, and had a happy childhood. He pointed out the parts of his home and situation that could have been negitive for him while growing up, but then he cancelled those negitive things out by noting the positive aspects of each situation. For example, in the memoir he wrote about how his family had immigrated to the United States, and how they had good jobs in Cuba, but then had to start all over with low-paying jobs once they got here. He said that this was hard for them, but he found a positive way to look at the situation. He did this by writing about how his parent's situation taught them and him to always work hard, and never give up. So overall, he made what could have been a depressing story, have an upbeat and happy mode. He even made the story teach you a lesson about hard work and the importance of family and giving to others.",8,5
11,"The mood created by the author of the memoir is cozy and family oriented. From the very beginning, the author describes the home as more of a way of life than a physical space. The author's ""parents created our traditional Cuban home, part of which was the kitchen"" (@NUM1). Here, the home is described even more as a part of the family, less is a building.     To enhance the feeling of family, the author includes stories of hospitality: ""My parents always kept their arms and their door to the many people he considered family"" (@NUM2). Hospitality is one of the best qualities you need to make a house a home and the author really stretches that. The mood created by the author of the memoir is cozy and family oriented.",9,5
11,"The mood created by the author of the memoir is cozy and family oriented. From the very beginning, the author describes the home as more of a way of life than a physical space. The author's ""parents created our traditional Cuban home, part of which was the kitchen"" (@NUM1). Here, the home is described even more as a part of the family, less is a building.     To enhance the feeling of family, the author includes stories of hospitality: ""My parents always kept their arms and their door to the many people he considered family"" (@NUM2). Hospitality is one of the best qualities you need to make a house a home and the author really stretches that. The mood created by the author of the memoir is cozy and family oriented.",10,4
11,"The mood created by the author of the memoir is cozy and family oriented. From the very beginning, the author describes the home as more of a way of life than a physical space. The author's ""parents created our traditional Cuban home, part of which was the kitchen"" (@NUM1). Here, the home is described even more as a part of the family, less is a building.     To enhance the feeling of family, the author includes stories of hospitality: ""My parents always kept their arms and their door to the many people he considered family"" (@NUM2). Hospitality is one of the best qualities you need to make a house a home and the author really stretches that. The mood created by the author of the memoir is cozy and family oriented.",11,5
12,"In the memoir Narciso Rodriguez the author creates a serious, happy and thankful mood. The author was serious to the point where his family had to go through economic and personal problems. However, the author was happy how they lived in a friendly and unified neighborhood with other immigrant from different countrys. The author showed thankfulness because his parents worked so hard to give him a new life. The memoir showed a good mood as well as a accurate portrait of the athour childhood.",18,2
12,"In the memoir Narciso Rodriguez the author creates a serious, happy and thankful mood. The author was serious to the point where his family had to go through economic and personal problems. However, the author was happy how they lived in a friendly and unified neighborhood with other immigrant from different countrys. The author showed thankfulness because his parents worked so hard to give him a new life. The memoir showed a good mood as well as a accurate portrait of the athour childhood.",19,3
13,"The mood created by the author in ""Narciso Rodriguez""is very calm and happy. The author This very calm and cool. There are no loud or emphasized parts. It is also very happy. It describes a family growing and getting to love each other. Also frends and more family having happy times having celebrations. The happiest line was the last, ""I will never forget how my parents turned this simple little house into a home."" It also has a very loving tone to it. Anything about a family coming together is loving.",8,4
13,"The mood created by the author in ""Narciso Rodriguez""is very calm and happy. The author This very calm and cool. There are no loud or emphasized parts. It is also very happy. It describes a family growing and getting to love each other. Also frends and more family having happy times having celebrations. The happiest line was the last, ""I will never forget how my parents turned this simple little house into a home."" It also has a very loving tone to it. Anything about a family coming together is loving.",9,4
13,"The mood created by the author in ""Narciso Rodriguez""is very calm and happy. The author This very calm and cool. There are no loud or emphasized parts. It is also very happy. It describes a family growing and getting to love each other. Also frends and more family having happy times having celebrations. The happiest line was the last, ""I will never forget how my parents turned this simple little house into a home."" It also has a very loving tone to it. Anything about a family coming together is loving.",10,3
14,"The author's interpretation of their childhood home set a mood of love and compassion. He writes about his parents in a way that informs the reader that they were extremely good people. He describes them, as well as others in their community, as honest, hardworking, selfless people. He writes the story with much appreciation of his parents, family, and life, which is very admirable. He describes that he lived in a house with only three rooms, and yet his parents made a home out of it and welcomed others to stay, too. The mood that this author set was that of love and compassion, and he did a very good job of explaining what his childhood home meant to him.",2,4
14,"The author's interpretation of their childhood home set a mood of love and compassion. He writes about his parents in a way that informs the reader that they were extremely good people. He describes them, as well as others in their community, as honest, hardworking, selfless people. He writes the story with much appreciation of his parents, family, and life, which is very admirable. He describes that he lived in a house with only three rooms, and yet his parents made a home out of it and welcomed others to stay, too. The mood that this author set was that of love and compassion, and he did a very good job of explaining what his childhood home meant to him.",10,5
15,"The mood in the memoir ""Narciso @CAPS1"" is a Open happy familly because her parents worked and made a wonderful home for her. I think the mood in the story is a open happy family becase in the text it says ""Growing up in this enviroment instilled in me a great sense that ""family"" had nothing to do with being blood related"" and that @CAPS3 that when @CAPS2 was growing up her family had a bunch of people that were considered family but not blood related. Also the text said ""It was a close knit community of honest, hardworking imigrants who extended a hand to people who, while not necessarily their own kind, were clearly in need."" That just @CAPS3 that her parants let anyone from their community who needed a family become part of their familly, or anybody who was lonley just have some company from them.",3,3
15,"The mood in the memoir ""Narciso @CAPS1"" is a Open happy familly because her parents worked and made a wonderful home for her. I think the mood in the story is a open happy family becase in the text it says ""Growing up in this enviroment instilled in me a great sense that ""family"" had nothing to do with being blood related"" and that @CAPS3 that when @CAPS2 was growing up her family had a bunch of people that were considered family but not blood related. Also the text said ""It was a close knit community of honest, hardworking imigrants who extended a hand to people who, while not necessarily their own kind, were clearly in need."" That just @CAPS3 that her parants let anyone from their community who needed a family become part of their familly, or anybody who was lonley just have some company from them.",4,4
15,"The mood in the memoir ""Narciso @CAPS1"" is a Open happy familly because her parents worked and made a wonderful home for her. I think the mood in the story is a open happy family becase in the text it says ""Growing up in this enviroment instilled in me a great sense that ""family"" had nothing to do with being blood related"" and that @CAPS3 that when @CAPS2 was growing up her family had a bunch of people that were considered family but not blood related. Also the text said ""It was a close knit community of honest, hardworking imigrants who extended a hand to people who, while not necessarily their own kind, were clearly in need."" That just @CAPS3 that her parants let anyone from their community who needed a family become part of their familly, or anybody who was lonley just have some company from them.",15,5
16,"The mood created by the author is a happy mood. I think that it is a happy mood because Narciso is describing his life, and at the end he says he has a happy life. ""I will never forget how my parents turned this simple house into a home"" (@CAPS1 @NUM1). I think that this is a happy statement because he is saying that his parents cared so much for him, and they turned what could have been a bad house, into a home. I think that it is a happy mood because of the way he talks about his neighbors. ""It was a close _ knit community of honest, hardworking immigrants who extended a hand to people who, while not necessarily their own kind, were clearly in need"" (@CAPS1 @NUM2). I think that since he talks about his friends and neighbors so well that it is a happy neighborhood. A @NUM3 and final reason I think it is a happy mood is because of the way he speaks of his family. ""They came selflesslyc to give their children a better lifec I will always be grateful to my parents for their love and sacrafice"" (@CAPS3 @NUM4 and @NUM5). I think that he loves his family, and love is definitely a happy word.",13,3
16,"The mood created by the author is a happy mood. I think that it is a happy mood because Narciso is describing his life, and at the end he says he has a happy life. ""I will never forget how my parents turned this simple house into a home"" (@CAPS1 @NUM1). I think that this is a happy statement because he is saying that his parents cared so much for him, and they turned what could have been a bad house, into a home. I think that it is a happy mood because of the way he talks about his neighbors. ""It was a close _ knit community of honest, hardworking immigrants who extended a hand to people who, while not necessarily their own kind, were clearly in need"" (@CAPS1 @NUM2). I think that since he talks about his friends and neighbors so well that it is a happy neighborhood. A @NUM3 and final reason I think it is a happy mood is because of the way he speaks of his family. ""They came selflesslyc to give their children a better lifec I will always be grateful to my parents for their love and sacrafice"" (@CAPS3 @NUM4 and @NUM5). I think that he loves his family, and love is definitely a happy word.",14,4
16,"The mood created by the author is a happy mood. I think that it is a happy mood because Narciso is describing his life, and at the end he says he has a happy life. ""I will never forget how my parents turned this simple house into a home"" (@CAPS1 @NUM1). I think that this is a happy statement because he is saying that his parents cared so much for him, and they turned what could have been a bad house, into a home. I think that it is a happy mood because of the way he talks about his neighbors. ""It was a close _ knit community of honest, hardworking immigrants who extended a hand to people who, while not necessarily their own kind, were clearly in need"" (@CAPS1 @NUM2). I think that since he talks about his friends and neighbors so well that it is a happy neighborhood. A @NUM3 and final reason I think it is a happy mood is because of the way he speaks of his family. ""They came selflesslyc to give their children a better lifec I will always be grateful to my parents for their love and sacrafice"" (@CAPS3 @NUM4 and @NUM5). I think that he loves his family, and love is definitely a happy word.",17,4
17,The mood  displayed by the author was a warm cozy feeling that felt like home. It showed his small house and family and their interests and how they all acted together. It really showed what he called home and what he called a family. The memoir explained the food he ate and the music he heared all through out his childhood and how he grew up.,5,4
17,The mood  displayed by the author was a warm cozy feeling that felt like home. It showed his small house and family and their interests and how they all acted together. It really showed what he called home and what he called a family. The memoir explained the food he ate and the music he heared all through out his childhood and how he grew up.,6,3
17,The mood  displayed by the author was a warm cozy feeling that felt like home. It showed his small house and family and their interests and how they all acted together. It really showed what he called home and what he called a family. The memoir explained the food he ate and the music he heared all through out his childhood and how he grew up.,18,2
18,The mood created by the author was happiness. Because every one came together as a family and they look out for each other when they were in need. They also helped each other out and were kind and friendly.,1,4
18,The mood created by the author was happiness. Because every one came together as a family and they look out for each other when they were in need. They also helped each other out and were kind and friendly.,16,3
19,"The mood that the author has is, and happy. I know this because @CAPS1 talks about his family and friends and his @CAPS3. @CAPS1 starts to tell us about his first friend @PERSON1 and how they lived above him. ""@PERSON1 my babysitter and my first friend lived above us and @PERSON1 graced our table for meals more often than not."" @CAPS1 @CAPS2 how it was to make his first friend. @CAPS1 also went on to explane how his parents made the house and how @CAPS3 will stay there forever. ""I will never forget how my parents turned this simple house into a home."" @CAPS1 is really greatful and his mood is happy and calm. Because hes talking about how his family started and how @CAPS1 met his friends.",2,4
19,"The mood that the author has is, and happy. I know this because @CAPS1 talks about his family and friends and his @CAPS3. @CAPS1 starts to tell us about his first friend @PERSON1 and how they lived above him. ""@PERSON1 my babysitter and my first friend lived above us and @PERSON1 graced our table for meals more often than not."" @CAPS1 @CAPS2 how it was to make his first friend. @CAPS1 also went on to explane how his parents made the house and how @CAPS3 will stay there forever. ""I will never forget how my parents turned this simple house into a home."" @CAPS1 is really greatful and his mood is happy and calm. Because hes talking about how his family started and how @CAPS1 met his friends.",3,3
19,"The mood that the author has is, and happy. I know this because @CAPS1 talks about his family and friends and his @CAPS3. @CAPS1 starts to tell us about his first friend @PERSON1 and how they lived above him. ""@PERSON1 my babysitter and my first friend lived above us and @PERSON1 graced our table for meals more often than not."" @CAPS1 @CAPS2 how it was to make his first friend. @CAPS1 also went on to explane how his parents made the house and how @CAPS3 will stay there forever. ""I will never forget how my parents turned this simple house into a home."" @CAPS1 is really greatful and his mood is happy and calm. Because hes talking about how his family started and how @CAPS1 met his friends.",4,5
19,"The mood that the author has is, and happy. I know this because @CAPS1 talks about his family and friends and his @CAPS3. @CAPS1 starts to tell us about his first friend @PERSON1 and how they lived above him. ""@PERSON1 my babysitter and my first friend lived above us and @PERSON1 graced our table for meals more often than not."" @CAPS1 @CAPS2 how it was to make his first friend. @CAPS1 also went on to explane how his parents made the house and how @CAPS3 will stay there forever. ""I will never forget how my parents turned this simple house into a home."" @CAPS1 is really greatful and his mood is happy and calm. Because hes talking about how his family started and how @CAPS1 met his friends.",11,3
20,"In the memoir the author created a mood by using details about the setting and the chareters, one of the mood that was in the story is friendship. In paragraph @NUM1, it says ""@CAPS1 graced our kitchen table for meals more often than not."" The author is explaining that he had family friends over to his house to eat almost every night. Another mood that is in the memoir is careing. In paragraph @NUM1, it says ""there was often someone staying with us temporarily until they were able to get back on their feet."" This shows that even though the authors family had a small home they let people stay with them untill they could leave. The last mood in the memoir is happiness. In paragraph @NUM3, it says ""I celebrated my first birthdays. Mood it was in the warmth of the kitchen in this humble house where a Cuban feast alwase filled the air."" The author explains how he had his birthday with his friends and family. These are only three of the main moods in the story.",9,5
20,"In the memoir the author created a mood by using details about the setting and the chareters, one of the mood that was in the story is friendship. In paragraph @NUM1, it says ""@CAPS1 graced our kitchen table for meals more often than not."" The author is explaining that he had family friends over to his house to eat almost every night. Another mood that is in the memoir is careing. In paragraph @NUM1, it says ""there was often someone staying with us temporarily until they were able to get back on their feet."" This shows that even though the authors family had a small home they let people stay with them untill they could leave. The last mood in the memoir is happiness. In paragraph @NUM3, it says ""I celebrated my first birthdays. Mood it was in the warmth of the kitchen in this humble house where a Cuban feast alwase filled the air."" The author explains how he had his birthday with his friends and family. These are only three of the main moods in the story.",10,5
20,"In the memoir the author created a mood by using details about the setting and the chareters, one of the mood that was in the story is friendship. In paragraph @NUM1, it says ""@CAPS1 graced our kitchen table for meals more often than not."" The author is explaining that he had family friends over to his house to eat almost every night. Another mood that is in the memoir is careing. In paragraph @NUM1, it says ""there was often someone staying with us temporarily until they were able to get back on their feet."" This shows that even though the authors family had a small home they let people stay with them untill they could leave. The last mood in the memoir is happiness. In paragraph @NUM3, it says ""I celebrated my first birthdays. Mood it was in the warmth of the kitchen in this humble house where a Cuban feast alwase filled the air."" The author explains how he had his birthday with his friends and family. These are only three of the main moods in the story.",12,5
21,"The mood the author created in the memoir is a roller coaster. It goes up and down. At the beginning of this story, it was quit deppressing. It's basically just Rodriguez describing the crummy quarters he lived in. But, as the story progresses, it is filled with happiness and even though living conditions werent all that great, he still had fun. In the end, home is about relationships rather than physical space.",13,2
21,"The mood the author created in the memoir is a roller coaster. It goes up and down. At the beginning of this story, it was quit deppressing. It's basically just Rodriguez describing the crummy quarters he lived in. But, as the story progresses, it is filled with happiness and even though living conditions werent all that great, he still had fun. In the end, home is about relationships rather than physical space.",14,2
21,"The mood the author created in the memoir is a roller coaster. It goes up and down. At the beginning of this story, it was quit deppressing. It's basically just Rodriguez describing the crummy quarters he lived in. But, as the story progresses, it is filled with happiness and even though living conditions werent all that great, he still had fun. In the end, home is about relationships rather than physical space.",17,4
22,The mood created by the author in the memoir is caring because his mother gave people a home to help them get back on their feet and kept her arms open and door open. Also the mood created by the author in the memoir is thankfulness because the author thank his parents all the time for his life.,5,5
22,The mood created by the author in the memoir is caring because his mother gave people a home to help them get back on their feet and kept her arms open and door open. Also the mood created by the author in the memoir is thankfulness because the author thank his parents all the time for his life.,6,3
23,The mood from my perspective would be a calm and cozy sentimental feeling. When the author would talk about how his parents passed so many feelings and so much culture it made me think about who I am and where I am from. It gave me a warm and fuzzy feeling about the cooking and music and family and I can relate to that. It gave me a feeling of perseverance and to not stop striving for what you believe in.  It made me feel strong and inspired my the mother and father's dedication to family.,2,4
23,The mood from my perspective would be a calm and cozy sentimental feeling. When the author would talk about how his parents passed so many feelings and so much culture it made me think about who I am and where I am from. It gave me a warm and fuzzy feeling about the cooking and music and family and I can relate to that. It gave me a feeling of perseverance and to not stop striving for what you believe in.  It made me feel strong and inspired my the mother and father's dedication to family.,10,4
23,The mood from my perspective would be a calm and cozy sentimental feeling. When the author would talk about how his parents passed so many feelings and so much culture it made me think about who I am and where I am from. It gave me a warm and fuzzy feeling about the cooking and music and family and I can relate to that. It gave me a feeling of perseverance and to not stop striving for what you believe in.  It made me feel strong and inspired my the mother and father's dedication to family.,12,3
24,"The mood of the memoir by @PERSON1 is love and compassion for his parents. He tells how he grew up with pride for Cuba and how he still loves Cuban music. His parents gave him these qualities which he adores but he is ""eternally grateful for his rich culinary skills that were passed on to him by his parents. @PERSON1 also talked about the role of ""family"" in the environment in which he grew up in. In his neighborhood, many people were the victims of racism, so they all came together to be a stronger whole. By growing up like this he learned how to give a helping hand to those who were in need. @PERSON1 also told the reader of the courage his parents had by leaving everything they knew and loved behind and how he wished he could have that same courage, but at least he knew of it.",7,5
